iteration,curLapTime,lastLapTime,stucktimer,damage,distRaced,distFromStart,racePos,z,speedZ,speedY,speedX,targetSpeed,rpm,skid,slip,trackPos,angle
0, -0.982,0.0,0,0.0,0.0,6936.68,9.0,0.345259,0.00145926,0.0,0.0,0,942.478,0,0,0.33333,-1.74846e-07
10, -0.782,0.0,10,0.0,0.0,6936.68,9.0,0.345259,0.00145926,0.0,0.0,0.0,1128.28,0,0,0.33333,-1.74846e-07
20, -0.582,0.0,20,0.0,0.0,6936.68,9.0,0.345259,0.00145926,0.0,0.0,0.0,1118.13,0,0,0.33333,-1.74846e-07
30, -0.382,0.0,30,0.0,0.0,6936.68,9.0,0.345259,0.00145926,0.0,0.0,0.0,1108.55,0,0,0.33333,-1.74846e-07
40, -0.182,0.0,40,0.0,0.0,6936.68,9.0,0.345259,0.00145926,0.0,0.0,0.0,1099.51,0,0,0.33333,-1.74846e-07
50, 0.038,0.0,50,0.0,0.0,6936.68,9.0,0.345259,0.00131036,-0.000105728,0.0945088,0.0,1072.89,0,0,0.33333,3.01992e-07
60, 0.238,0.0,60,0.0,0.00927734,6936.69,9.0,0.345266,0.000347528,0.00537846,-0.0115493,0.138273,942.478,0,0,0.33333,-1.01884e-05
70, 0.44,0.0,70,0.0,0.0185547,6936.7,9.0,0.345251,0.0017669,-0.0286419,0.335236,0,1059.36,0,0,0.333306,-8.12372e-05
80, 0.642,0.0,80,0.0,0.027832,6936.71,9.0,0.345257,8.33492e-05,-0.0122228,0.556857,70,942.478,0,0,0.333306,-0.000292476
90, 0.842,0.0,0,0.0,0.157715,6936.84,9.0,0.345432,-0.000535334,-0.00624937,4.05623,333,942.478,0,0,0.333306,-0.000156101
100, 1.044,0.0,0,0.0,0.342285,6937.02,9.0,0.345181,0.00981087,-0.00506409,3.87354,333,942.478,0,0,0.333305,-0.000168022
110, 1.244,0.0,0,0.0,0.655762,6937.34,9.0,0.345413,-0.00201579,-0.00371274,7.3137,333,942.478,0,0,0.333305,9.37621e-05
120, 1.444,0.0,0,0.0,1.16406,6937.85,9.0,0.345354,-0.0016674,-0.00698485,10.9658,333,1362.31,0,0,0.333304,0.000262086
130, 1.644,0.0,0,0.0,1.88232,6938.56,9.0,0.34532,-0.00158975,-0.00839318,14.8976,14.3875,1823.64,0,0,0.333303,0.000552956
140, 1.844,0.0,0,0.0,2.61084,6939.29,9.0,0.345226,0.0128586,-0.00723809,14.572,333,1788.17,0,0,0.333302,0.000664536
150, 2.05,0.0,0,0.0,3.56885,6940.25,9.0,0.345306,-0.00455866,-0.00991964,18.932,333,2283.36,0,0,0.3333,0.00103599
160, 2.27,0.0,0,0.0,4.89746,6941.58,9.0,0.345213,-0.0017486,-0.0122115,24.7402,333,3027.24,0,0,0.333299,0.00155479
170, 2.49,0.0,0,0.0,6.56787,6943.25,9.0,0.344965,-0.0219338,-0.0107691,26.086,333,4122.28,0,0,0.332539,0.00212747
180, 2.71,0.0,0,0.0,8.33496,6945.02,9.0,0.345181,0.00555942,-0.0141554,32.575,333,4165.57,0,0,0.331641,0.00291664
190, 2.93,0.0,0,0.0,10.5313,6947.21,9.0,0.344753,-0.00709627,-0.0144333,37.9896,333,4289.69,0,0,0.330694,0.004062
200, 3.15,0.0,0,0.0,12.9692,6949.65,9.0,0.344584,-0.00173427,0.0045418,41.77,333,3129.98,0,0,0.329164,0.0040496
210, 3.37,0.0,0,0.0,15.6768,6952.36,9.0,0.344418,-0.00419832,0.0279827,46.7729,333,7725.72,0,0,0.327378,0.00407964
220, 3.59,0.0,0,0.0,18.6602,6955.34,9.0,0.344229,-0.00301828,-0.0106668,51.1689,333,5847.43,0,0,0.325192,0.00543243
230, 3.81,0.0,0,0.0,21.8838,6958.57,9.0,0.344004,-0.00218819,-0.0169698,54.5083,333,4514.82,0,0,0.322307,0.0071314
240, 4.03,0.0,0,0.0,25.3838,6962.07,9.0,0.343817,-0.00466023,-0.00176704,59.294,333,6706.11,0,0,0.318517,0.00887043
250, 4.25,0.0,0,0.0,29.1406,6965.82,9.0,0.343508,-0.00423204,-0.0137626,63.2595,333,4849.18,0,0,0.313507,0.0107978
