iteration,curLapTime,lastLapTime,stucktimer,damage,distRaced,distFromStart,racePos,z,speedZ,speedY,speedX,targetSpeed,rpm,skid,slip,trackPos,angle
0, -0.982,0.0,0,0.0,0.0,5679.1,9.0,0.345258,-0.000205088,0.0,0.0,0,942.478,0,0,-0.333341,-1.74846e-07
10, -0.782,0.0,10,0.0,0.0,5679.1,9.0,0.345258,-0.000205088,0.0,0.0,0.0,1128.28,0,0,-0.333341,-1.74846e-07
20, -0.582,0.0,20,0.0,0.0,5679.1,9.0,0.345258,-0.000205088,0.0,0.0,0.0,1118.13,0,0,-0.333341,-1.74846e-07
30, -0.382,0.0,30,0.0,0.0,5679.1,9.0,0.345258,-0.000205088,0.0,0.0,0.0,1108.55,0,0,-0.333341,-1.74846e-07
40, -0.182,0.0,40,0.0,0.0,5679.1,9.0,0.345258,-0.000205088,0.0,0.0,0.0,1099.51,0,0,-0.333341,-1.74846e-07
50, 0.038,0.0,50,0.0,0.0,5679.1,9.0,0.345257,-0.000186426,0.00122581,0.0939856,0.0,1072.9,0,0,-0.333341,-3.98954e-06
60, 0.238,0.0,60,0.0,0.00878906,5679.11,9.0,0.345263,-0.000740176,0.00300837,-0.0837301,0,942.478,0,0,-0.333418,-9.9357e-05
70, 0.44,0.0,70,0.0,0.0175781,5679.11,9.0,0.345263,-0.000964184,0.00197498,0.0202685,0,942.478,0,0,-0.333497,-0.000290569
80, 0.642,0.0,80,0.0,0.0449219,5679.14,9.0,0.345323,0.00553451,-0.000587577,1.58903,1.33786,942.478,0,0,-0.333736,-0.000873264
90, 0.842,0.0,90,0.0,0.118652,5679.22,9.0,0.34536,0.00608043,0.00268738,2.89739,70,942.478,0,0,-0.334076,-0.00115221
100, 1.044,0.0,0,0.0,0.377441,5679.47,9.0,0.345386,-0.00154149,0.0180521,6.34063,333,942.478,0,0,-0.334039,-0.00170105
110, 1.244,0.0,0,0.0,0.76416,5679.86,9.0,0.345152,-0.0123132,0.0183256,5.93708,333,942.478,0,0,-0.333536,-0.00258177
120, 1.444,0.0,0,0.0,1.18896,5680.29,9.0,0.345451,0.00178196,0.0254735,9.42645,333,1183.8,0,0,-0.332995,-0.00339001
130, 1.644,0.0,0,0.0,1.81738,5680.91,9.0,0.34533,-0.00105767,0.0377988,13.2469,333,1594.18,0,0,-0.332224,-0.00468033
140, 1.844,0.0,0,0.0,2.66504,5681.76,9.0,0.345294,-0.000687284,0.0484571,17.3254,333,2093.58,0,0,-0.33101,-0.00645464
150, 2.05,0.0,0,0.0,3.76807,5682.87,9.0,0.345185,-0.0131608,0.041261,18.0278,333,942.478,0,0,-0.328866,-0.00848931
160, 2.27,0.0,0,0.0,4.96533,5684.06,9.0,0.345312,0.0064695,0.0261231,22.1936,333,2692.63,0,0,-0.32646,-0.00947731
170, 2.49,0.0,0,0.0,6.52246,5685.62,9.0,0.345142,-0.00279974,0.031545,28.9755,333,3639.68,0,0,-0.323259,-0.0109159
180, 2.71,0.0,0,0.0,8.52539,5687.62,9.0,0.344941,-0.0121432,0.0308456,33.8032,333,2885.02,0,0,-0.31851,-0.0128157
190, 2.93,0.0,0,0.0,10.6704,5689.77,9.0,0.344811,0.00166991,0.0389428,36.885,333,2941.37,0,0,-0.312646,-0.0147697
200, 3.15,0.0,0,0.0,13.0811,5692.18,9.0,0.344611,-0.00221391,-0.011742,41.3389,333,6722.0,0,0,-0.306268,-0.0149657
210, 3.37,0.0,0,0.0,15.7554,5694.85,9.0,0.344463,-0.00164892,-0.0089161,45.9018,333,5201.36,0,0,-0.299496,-0.0141479
220, 3.59,0.0,0,0.0,18.5093,5697.61,9.0,0.344289,0.00982087,0.0241156,46.3695,333,4884.25,0,0,-0.292369,-0.0150587
230, 3.81,0.0,0,0.0,21.4946,5700.59,9.0,0.34424,-0.00788657,0.0359129,50.928,333,5814.92,0,0,-0.28324,-0.0167329
240, 4.03,0.0,0,0.0,24.7197,5703.82,9.0,0.344005,-0.00266757,0.0275384,55.0018,333,4210.36,0,0,-0.272581,-0.0188677
250, 4.25,0.0,0,0.0,28.2344,5707.33,9.0,0.343755,-0.00672931,0.0357848,59.1977,333,6629.48,0,0,-0.260939,-0.017348
260, 4.47,0.0,0,0.0,31.9956,5711.09,9.0,0.343508,-0.00250255,0.0205466,64.2633,333,8482.53,0,0,-0.249716,-0.0163509
270, 4.69,0.0,0,0.0,36.0195,5715.12,9.0,0.343241,-0.00199795,-0.0272384,68.4282,333,5217.62,0,0,-0.23821,-0.0149428
280, 4.91,0.0,0,0.0,40.3564,5719.45,9.0,0.342927,-0.00677315,-0.0280849,74.0716,333,5663.52,0,0,-0.226151,-0.0139019
290, 5.13,0.0,0,0.0,45.0835,5724.18,9.0,0.342446,-0.00503022,-0.0266007,80.6068,333,6181.88,0,0,-0.214755,-0.0131871
300, 5.35,0.0,0,0.0,50.2188,5729.32,9.0,0.341879,0.00353842,-0.0377948,87.3701,333,6707.68,0,0,-0.202415,-0.0139396
310, 5.57,0.0,0,0.0,55.752,5734.85,9.0,0.341287,0.0118524,-0.0230666,92.7909,333,6751.47,0,0,-0.188832,-0.014044
320, 5.79,0.0,0,0.0,61.5273,5740.62,9.0,0.34083,0.0254259,-0.0491863,96.1033,333,7454.79,0,0,-0.174094,-0.0147845
330, 6.01,0.0,0,0.0,67.4629,5746.56,9.0,0.340594,0.0296779,0.000301571,98.0563,333,7041.66,0,0,-0.158958,-0.0155432
340, 6.23,0.0,0,0.0,73.5552,5752.65,9.0,0.340327,0.0322997,0.0394204,101.312,333,7856.37,0,0,-0.142201,-0.0155002
350, 6.45,0.0,0,0.0,79.8091,5758.91,9.0,0.340064,0.0318908,0.114556,103.219,333,7407.95,0,0,-0.122847,-0.0163142
360, 6.67,0.0,0,0.0,86.2163,5765.31,9.0,0.339792,0.0281337,0.037259,106.447,333,8253.96,0,0,-0.101008,-0.0199129
370, 6.89,0.0,0,0.0,92.7798,5771.88,9.0,0.339519,0.0204476,0.0136502,108.306,333,7768.72,0,0,-0.0739413,-0.0246941
380, 7.11,0.0,0,0.0,99.4946,5778.59,9.0,0.339235,0.00817528,-0.0670175,111.448,333,8595.91,0,0,-0.0385742,-0.0339386
390, 7.33,0.0,0,0.0,106.5,1.50018,9.0,0.339,-0.0114481,0.115638,113.126,333,8109.74,0,0,0.00386186,-0.041458
400, 7.55,0.0,0,0.0,113.499,8.49841,9.0,0.338717,-0.0490918,0.354533,116.039,333,8892.25,0,0,0.0497825,-0.0249967
410, 7.77,0.0,0,0.0,120.632,15.6317,9.0,0.338413,-0.0804818,0.268819,116.276,116.898,7485.65,0,0,0.0767933,-0.0134213
